"modelo","significativo","variable","beta","sd","lower95","upper95","FOI"
"29_all_elev","Yes","pop_dens_z",-0.0262343654202932,0.00198251845835265,-0.0301213986087324,-0.0223452629539663,"constante"
"29_all_elev","Yes","prec_lag",-0.145309409740042,0.00243087142396741,-0.150075507709172,-0.140540786560918,"constante"
"30_all_temp_inter","Yes","dens_x_temp",0.0311960870541518,0.00624897951903831,0.0189542328957014,0.0434648739344312,"constante"
"30_all_temp_inter","Yes","hum_lag",0.0156326634990026,0.00440294266207545,0.00699742759397823,0.024267182864155,"constante"
"30_all_temp_inter","Yes","pop_dens_z",-0.0901648003949768,0.00730521597846503,-0.104508033316988,-0.0758545993656475,"constante"
"30_all_temp_inter","Yes","prec_lag",-0.142453174360641,0.00293932968407889,-0.148216451144989,-0.136687425243635,"constante"
"30_all_temp_inter","Yes","temp_lag",0.11145920118775,0.00372299853582248,0.104156358901216,0.118759146182639,"constante"
"30_all_temp_inter","Yes","temp_x_prec",-0.0404554578981772,0.0033461242298635,-0.0470169100440161,-0.0338922740341796,"constante"
"01_temp","Yes","temp_lag",0.0532121042036015,0.0112689661282788,0.0311108104775905,0.075312741820515,"variante"
"02_prec","Yes","prec_lag",-0.0640951823263529,0.012405942952302,-0.0884281364832461,-0.0397674866951346,"variante"
"03_hum","Yes","hum_lag",0.047361215083358,0.0205296286079844,0.00745012402636849,0.0878923078308734,"variante"
"04_elevation","Yes","elevation_z",-0.0628777522716348,0.010568442474603,-0.0836066306514178,-0.0421532368705935,"variante"
"05_pop_density","No","pop_dens_z",-0.0157987303252816,0.0106827501012533,-0.0367578312556235,0.0051452636577258,"variante"
"06_temp_prec","Yes","prec_lag",-0.0498174098370686,0.0131427791379153,-0.0755843271647056,-0.024030493508616,"variante"
"06_temp_prec","Yes","temp_lag",0.0377438548059727,0.0119544480003416,0.0142598189106344,0.0611539219318171,"variante"
"07_temp_hum","No","hum_lag",0.00547832203746439,0.0212188608253737,-0.0355034502585941,0.0477186950940589,"variante"
"07_temp_hum","Yes","temp_lag",0.0517558982540701,0.0124493290773827,0.0272114190387642,0.076053837550219,"variante"
"08_prec_hum","No","hum_lag",0.0359583921514133,0.0204114784199114,-0.00371683612014918,0.0762612722879991,"variante"
"08_prec_hum","Yes","prec_lag",-0.0618030861091042,0.0125073812489006,-0.0863263562841022,-0.0372679129876545,"variante"
"10_prec_elev","Yes","elevation_z",-0.0505915058193426,0.0110893640452742,-0.0723312867283804,-0.0288327990379199,"variante"
"10_prec_elev","Yes","prec_lag",-0.0453308812270215,0.012992042490502,-0.0707881163064887,-0.0198264516342345,"variante"
"11_temp_dens","Yes","pop_dens_z",-0.03876199700244,0.0114141759104835,-0.0612018381931293,-0.0164283719756056,"variante"
"11_temp_dens","Yes","temp_lag",0.0680194920707355,0.0120917641251899,0.0443361315954097,0.0917668344109359,"variante"
"12_prec_dens","Yes","pop_dens_z",-0.0573179862307392,0.0122882396187344,-0.0814922217961078,-0.0332901239955121,"variante"
"12_prec_dens","Yes","prec_lag",-0.0974810362202428,0.0142857258216867,-0.125538502955894,-0.0695033753060136,"variante"
"13_elev_dens","Yes","elevation_z",-0.0706714478921249,0.0108868778655907,-0.0920359556603774,-0.0493332791643007,"variante"
"13_elev_dens","Yes","pop_dens_z",-0.0326256425839315,0.0109239275132172,-0.0540885296872526,-0.0112391215873162,"variante"
"14_climate_full","No","hum_lag",0.0078792980180516,0.0218133586865214,-0.0339963398706047,0.0515246661548624,"variante"
"14_climate_full","Yes","prec_lag",-0.0501359835563375,0.0131958949180985,-0.0760213435137438,-0.0242578023812068,"variante"
"14_climate_full","Yes","temp_lag",0.0354150883849547,0.0134088222499041,0.00877763200108862,0.0613954230635041,"variante"
"15_elev_prec_hum","Yes","elevation_z",-0.0533224171670275,0.0124005442623262,-0.0774860148666292,-0.0288325689389435,"variante"
"15_elev_prec_hum","No","hum_lag",-0.0109098820772984,0.0215196617021328,-0.0523833421907682,0.0320087739527821,"variante"
